IP,Total_Eventos,Detectado_PortScan
192.168.0.16,75,Não
170.187.146.200,68,Não
192.168.0.12,245,Não
40.71.11.167,2,Não
192.168.0.13,24,Não
172.172.255.216,3,Não
2.20.111.71,1,Não
185.125.190.58,1,Não
172.64.148.235,6,Não
13.89.179.8,2,Não
192.168.0.5,20,Não
13.107.213.33,4,Não
104.18.43.204,3,Não
199.232.193.91,8,Não
23.209.190.196,2,Não
192.168.0.1,20,Não
8.8.8.8,2,Não
57.144.137.33,56,Não
200.241.72.33,37,Não
201.44.141.97,11,Não
57.144.137.32,11,Não
31.13.90.60,10,Não
31.13.94.52,11,Não
34.107.243.93,1,Não
172.64.155.209,1,Não
142.251.132.228,1,Não
216.239.34.178,2,Não
76.76.21.21,2,Não
172.217.172.2,2,Não
142.250.219.129,2,Não
142.251.132.226,2,Não
142.250.218.226,2,Não
142.250.219.130,4,Não
135.234.174.40,1,Não
142.250.219.142,5,Não
8.8.4.4,13,Não
2.20.111.88,12,Não
104.18.32.47,1,Não
52.104.126.55,1,Não
179.155.224.14,2,Não
95.101.94.31,9,Não
13.68.233.9,10,Não
192.168.0.11,3,Não
